time; pose_x; pose_y; pose_heading;  gps_x; gps_y; gps_z; acc_0; acc_1; acc_2; right_enc; left_enc; odo_acc_x; odo_acc_y; odo_acc_heading; odo_enc_x; odo_enc_y; odo_enc_heading; kalman_x; kalman_y; kalman_heading; mode_x; mode_y; mode_heading 
0.016; 0; 0; 0; nan; nan; nan; -0.0139243; -7.83716; 9.88865; 28.5048; 33.048; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.032; 0; 0; 0; nan; nan; nan; 0.00597956; 0.00688167; 9.79559; 28.5084; 33.0732; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.048; 0; 0; 0; nan; nan; nan; 0.00477689; 0.0069242; 9.79824; 28.5084; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.064; 0; 0; 0; nan; nan; nan; 0.00381531; 0.00697918; 9.80059; 28.4976; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.08; 0; 0; 0; nan; nan; nan; 0.00304572; 0.00704572; 9.80248; 28.4976; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.096; 0; 0; 0; nan; nan; nan; 0.00242984; 0.00712292; 9.80398; 28.4976; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.112; 0; 0; 0; nan; nan; nan; 0.001937; 0.00720974; 9.80519; 28.4868; 33.048; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.128; 0; 0; 0; nan; nan; nan; 0.00154265; 0.00730494; 9.80615; 28.5084; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.144; 0; 0; 0; nan; nan; nan; 0.00122711; 0.00740717; 9.80692; 28.5012; 33.0732; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.16; 0; 0; 0; nan; nan; nan; 0.000974648; 0.00751496; 9.80753; 28.5012; 33.0264; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.176; 0; 0; 0; nan; nan; nan; 0.000772658; 0.00762674; 9.80803; 28.5048; 33.0336; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.192; 0; 0; 0; nan; nan; nan; 0.000611053; 0.00774088; 9.80842; 28.476; 33.0696; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.208; 0; 0; 0; nan; nan; nan; 0.000481761; 0.00785571; 9.80874; 28.5156; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.224; 0; 0; 0; nan; nan; nan; 0.000378323; 0.00796956; 9.80899; 28.494; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.24; 0; 0; 0; nan; nan; nan; 0.000295569; 0.00808075; 9.80919; 28.458; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.256; 0; 0; 0; nan; nan; nan; 0.000229364; 0.00818764; 9.80935; 28.5156; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.272; 0; 0; 0; nan; nan; nan; 0.0001764; 0.00828866; 9.80948; 28.5048; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.288; 0; 0; 0; nan; nan; nan; 0.000134027; 0.00838232; 9.80958; 28.5012; 33.0804; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.304; 0; 0; 0; nan; nan; nan; 0.000100129; 0.00846725; 9.80967; 28.5084; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.32; 0; 0; 0; nan; nan; nan; 7.30108e-05; 0.00854218; 9.80973; 28.4868; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.336; 0; 0; 0; nan; nan; nan; 5.13159e-05; 0.00860603; 9.80979; 28.5048; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.352; 0; 0; 0; nan; nan; nan; 3.396e-05; 0.00865784; 9.80983; 28.4904; 33.0372; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.368; 0; 0; 0; nan; nan; nan; 2.00753e-05; 0.00869685; 9.80986; 28.4976; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.384; 0; 0; 0; nan; nan; nan; 8.96762e-06; 0.00872249; 9.80989; 28.5156; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.4; 0; 0; 0; nan; nan; nan; 8.1483e-08; 0.00873438; 9.80991; 28.5012; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.416; 0; 0; 0; nan; nan; nan; -7.02741e-06; 0.00873235; 9.80993; 28.5084; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.432; 0; 0; 0; nan; nan; nan; -1.27145e-05; 0.00871643; 9.80994; 28.5084; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.448; 0; 0; 0; nan; nan; nan; -1.72642e-05; 0.00868686; 9.80995; 28.5048; 33.0696; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.464; 0; 0; 0; nan; nan; nan; -2.0904e-05; 0.00864408; 9.80996; 28.4976; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.48; 0; 0; 0; nan; nan; nan; -2.38158e-05; 0.00858872; 9.80997; 28.4868; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.496; 0; 0; 0; nan; nan; nan; -2.61453e-05; 0.0085216; 9.80997; 28.4832; 33.0444; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.512; 0; 0; 0; nan; nan; nan; -2.8009e-05; 0.00844372; 9.80998; 28.4868; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.528; 0; 0; 0; nan; nan; nan; -2.95e-05; 0.00835624; 9.80998; 28.494; 33.0408; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.544; 0; 0; 0; nan; nan; nan; -3.06928e-05; 0.00826044; 9.80998; 28.4832; 33.048; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.56; 0; 0; 0; nan; nan; nan; -3.16471e-05; 0.00815776; 9.80999; 28.5048; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.576; 0; 0; 0; nan; nan; nan; -3.24106e-05; 0.0080497; 9.80999; 28.4976; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.592; 0; 0; 0; nan; nan; nan; -3.30215e-05; 0.00793787; 9.80999; 28.5012; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.608; 0; 0; 0; nan; nan; nan; -3.35103e-05; 0.00782393; 9.80999; 28.5048; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.624; 0; 0; 0; nan; nan; nan; -3.39013e-05; 0.00770956; 9.80999; 28.5048; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.64; 0; 0; 0; nan; nan; nan; -3.42142e-05; 0.00759645; 9.80999; 28.5084; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.656; 0; 0; 0; nan; nan; nan; -3.44646e-05; 0.00748628; 9.80999; 28.5156; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.672; 0; 0; 0; nan; nan; nan; -3.46649e-05; 0.00738068; 9.81; 28.4976; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.688; 0; 0; 0; nan; nan; nan; -3.48252e-05; 0.00728121; 9.81; 28.494; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.704; 0; 0; 0; nan; nan; nan; -3.49535e-05; 0.00718935; 9.81; 28.5012; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.72; 0; 0; 0; nan; nan; nan; -3.50561e-05; 0.00710645; 9.81; 28.5084; 33.048; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.736; 0; 0; 0; nan; nan; nan; -3.51382e-05; 0.00703374; 9.81; 28.5012; 33.0732; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.752; 0; 0; 0; nan; nan; nan; -3.52039e-05; 0.00697229; 9.81; 28.4868; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.768; 0; 0; 0; nan; nan; nan; -3.52565e-05; 0.00692301; 9.81; 28.476; 33.0444; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.784; 0; 0; 0; nan; nan; nan; -3.52985e-05; 0.00688664; 9.81; 28.512; 33.0408; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.8; 0; 0; 0; nan; nan; nan; -3.53321e-05; 0.00686371; 9.81; 28.4904; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.816; 0; 0; 0; nan; nan; nan; -3.5359e-05; 0.00685455; 9.81; 28.5048; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.832; 0; 0; 0; nan; nan; nan; -3.53804e-05; 0.0068593; 9.81; 28.5084; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.848; 0; 0; 0; nan; nan; nan; -3.53975e-05; 0.00687789; 9.81; 28.4976; 33.0696; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.864; 0; 0; 0; nan; nan; nan; -3.54112e-05; 0.00691004; 9.81; 28.4976; 33.048; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.88; 0; 0; 0; nan; nan; nan; -3.5422e-05; 0.00695528; 9.81; 28.4868; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.896; 0; 0; 0; nan; nan; nan; -3.54307e-05; 0.00701293; 9.81; 28.4796; 33.0624; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.912; 0; 0; 0; nan; nan; nan; -3.54375e-05; 0.00708214; 9.81; 28.4832; 33.0624; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.928; 0; 0; 0; nan; nan; nan; -3.54429e-05; 0.00716189; 9.81; 28.5156; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.944; 0; 0; 0; nan; nan; nan; -3.54472e-05; 0.00725099; 9.81; 28.5228; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.96; 0; 0; 0; nan; nan; nan; -3.54505e-05; 0.00734812; 9.81; 28.512; 33.0732; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.976; 0; 0; 0; nan; nan; nan; -3.54531e-05; 0.00745185; 9.81; 28.5012; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.992; 0; 0; 0; nan; nan; nan; -3.54551e-05; 0.00756063; 9.81; 28.5048; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.008; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54567e-05; 0.00767287; 9.81; 28.476; 33.0624; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.024; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.512; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.04; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.4904; 33.0408; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.056; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.494; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.072; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.4904; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.088; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5084; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.104; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5048; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.12; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5084; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.136; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.4688; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.152; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5156; 33.0696; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.168; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5012; 33.0624; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.184; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.4976; 33.0768; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.2; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.4832; 33.0696; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.216; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5012; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.232; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.4904; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.248; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.4832; 33.0516; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.264; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.4868; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.28; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5012; 33.084; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.296; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.4976; 33.0372; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.312; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5156; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.328; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.4904; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.344; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.494; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.36; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5012; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.376; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5012; 33.0552; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.392; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5048; 33.0408; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.408; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5084; 33.066; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.424; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.5012; 33.0624; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
1.44; 0; 0; 0; -2.90272; -3.19841e-05; -0.00123222; -3.54579e-05; 0.00778689; 9.81; 28.4976; 33.0588; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
