time; pose_x; pose_y; pose_heading;  gps_x; gps_y; gps_z; acc_0; acc_1; acc_2; right_enc; left_enc; odo_acc_x; odo_acc_y; odo_acc_heading; odo_enc_x; odo_enc_y; odo_enc_heading; kalman_x; kalman_y; kalman_heading; mode_x; mode_y; mode_heading 
0.144; 0; 0; 0; nan; nan; nan; 7.4528e-05; 0.00781281; 9.81105; -0.0036; -0.0036; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.16; 0; 0; 0; nan; nan; nan; 7.27617e-05; 0.00781264; 9.81084; 0.0108; -0.0072; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.176; 0; 0; 0; nan; nan; nan; 7.13487e-05; 0.0078125; 9.81067; 0.0036; 0.0144; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.192; 0; 0; 0; nan; nan; nan; 7.02184e-05; 0.0078124; 9.81054; -0.0072; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.208; 0; 0; 0; nan; nan; nan; 6.93142e-05; 0.00781231; 9.81043; 0; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.224; 0; 0; 0; nan; nan; nan; 6.85909e-05; 0.00781224; 9.81034; -0.0036; -0.0144; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.24; 0; 0; 0; nan; nan; nan; 6.80123e-05; 0.00781219; 9.81027; 0; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.256; 0; 0; 0; nan; nan; nan; 6.75494e-05; 0.00781214; 9.81022; -0.0108; 0.0144; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.272; 0; 0; 0; nan; nan; nan; 6.71791e-05; 0.00781211; 9.81017; -0.0144; 0.0072; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.288; 0; 0; 0; nan; nan; nan; 6.68829e-05; 0.00781208; 9.81014; 0.0036; 0.0108; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.304; 0; 0; 0; nan; nan; nan; 6.66459e-05; 0.00781206; 9.81011; 0.0036; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.32; 0; 0; 0; nan; nan; nan; 6.64563e-05; 0.00781204; 9.81009; -0.0072; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.336; 0; 0; 0; nan; nan; nan; 6.63047e-05; 0.00781202; 9.81007; -0.0036; 0.018; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.352; 0; 0; 0; nan; nan; nan; 6.61834e-05; 0.00781201; 9.81005; 0.0072; 0.0108; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.368; 0; 0; 0; nan; nan; nan; 6.60863e-05; 0.007812; 9.81004; -0.0072; 0.0036; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.384; 0; 0; 0; nan; nan; nan; 6.60087e-05; 0.00781199; 9.81003; 0; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.4; 0; 0; 0; nan; nan; nan; 6.59466e-05; 0.00781199; 9.81003; 0.0216; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.416; 0; 0; 0; nan; nan; nan; 6.58969e-05; 0.00781198; 9.81002; -0.0144; -0.0144; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.432; 0; 0; 0; nan; nan; nan; 6.58571e-05; 0.00781198; 9.81002; 0; 0; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
0.448; 0; 0; 0; nan; nan; nan; 6.58253e-05; 0.00781198; 9.81001; -0.0036; -0.0036; 0; 0; 0; 0; 0; 0;  0; 0; 0; 0; 0; 0
