time; pose_x; pose_y; pose_heading;  gps_x; gps_y; gps_z; acc_0; acc_1; acc_2; right_enc; left_enc; odo_acc_x; odo_acc_y; odo_acc_heading; odo_enc_x; odo_enc_y; odo_enc_heading; kalman_x; kalman_y; kalman_heading; mode_x; mode_y; mode_heading 
77.6; 2.9; -0; 0; 0; 0; 0; 0.0057818; 0.0331921; 9.76021; 195.743; 201.791; 3.28214e-06; -1.90453e-06; -2.13272; 0; 0; 0;  0; 0; -2.13272; 0; 0; -2.13272
77.616; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; 0.00292623; 0.118858; 9.76979; 195.764; 201.74; -6.22985e-07; -2.10358e-05; -2.10733; 0; 0; 0;  2.89811; -0.272705; -2.10733; 2.89811; -0.272705; -2.10733
77.632; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; 0.000520853; 0.355162; 9.77757; 195.746; 201.791; -3.32402e-05; -9.3174e-05; -2.13145; 0; 0; 0;  3.69248; -0.272605; -2.13145; 3.69248; -0.272605; -2.13145
77.648; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; 0.0176174; -0.152431; 9.78435; 195.7; 201.83; -8.4305e-05; -0.00018474; -2.16191; 0; 0; 0;  3.891; -0.272682; -2.16191; 3.891; -0.272682; -2.16191
77.664; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; 0.00944878; 0.0178692; 9.78948; 195.682; 201.877; -0.000126792; -0.000262151; -2.18476; 0; 0; 0;  3.94322; -0.272733; -2.18476; 3.94322; -0.272733; -2.18476
77.68; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; 0.00797785; 0.0267518; 9.79358; 195.642; 201.906; -0.00017448; -0.00034345; -2.20888; 0; 0; 0;  3.95709; -0.272838; -2.20888; 3.95709; -0.272838; -2.20888
77.696; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; 0.00397653; 0.0611269; 9.79684; 195.602; 201.935; -0.000231849; -0.000432148; -2.233; 0; 0; 0;  3.96084; -0.272799; -2.233; 3.96084; -0.272799; -2.233
77.712; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; 0.00866663; 0.0449038; 9.79948; 195.574; 202.003; -0.000301116; -0.000529234; -2.26728; 0; 0; 0;  3.96181; -0.272828; -2.26728; 3.96181; -0.272828; -2.26728
77.728; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; 0.00933308; 0.0919897; 9.80156; 195.541; 202.028; -0.000387035; -0.000635833; -2.28759; 0; 0; 0;  3.96196; -0.272963; -2.28759; 3.96196; -0.272963; -2.28759
77.744; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; 0.0170437; 2.74779; 9.77633; 195.577; 202.072; -0.000714399; -0.00101439; -2.29013; 0; 0; 0;  3.96188; -0.273128; -2.29013; 3.96188; -0.273128; -2.29013
77.76; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; -0.00180084; 0.0729002; 9.79545; 195.642; 202.104; -0.00128255; -0.00166203; -2.27871; 0; 0; 0;  3.96133; -0.273522; -2.27871; 3.96133; -0.273522; -2.27871
77.776; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; 0.0473405; -2.68676; 9.7831; 195.602; 202.151; -0.00161087; -0.00207469; -2.30917; 0; 0; 0;  3.96081; -0.273909; -2.30917; 3.96081; -0.273909; -2.30917
77.792; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; 0.029543; 2.54768; 9.80302; 195.646; 202.187; -0.00191751; -0.00248781; -2.30663; 0; 0; 0;  3.96061; -0.27431; -2.30663; 3.96061; -0.27431; -2.30663
77.808; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; -0.000338148; 0.0793327; 9.80808; 195.671; 202.208; -0.00244269; -0.00315626; -2.30536; 0; 0; 0;  3.96018; -0.274738; -2.30536; 3.96018; -0.274738; -2.30536
77.824; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; -0.00112663; 0.0289005; 9.80799; 195.718; 202.27; -0.00297557; -0.00383622; -2.31044; 0; 0; 0;  3.95966; -0.275161; -2.31044; 3.95966; -0.275161; -2.31044
77.84; 2.89803; -0.272973; -1.57802; -0.00197322; -3.16077e-05; 0.272973; -0.000264507; -0.017102; 9.8047; 195.764; 202.298; -0.00351653; -0.00451168; -2.30409; 0; 0; 0;  3.95904; -0.275795; -2.30409; 3.95904; -0.275795; -2.30409
